CMDLINE E:\annaconda\python.exe no_mask_train.py
MEM 173.539062 1642041454.6100
MEM 170.070312 1642041454.7220
MEM 163.410156 1642041454.8340
MEM 169.062500 1642041454.9461
MEM 168.960938 1642041455.0581
MEM 178.968750 1642041455.1701
MEM 183.320312 1642041455.2821
MEM 198.445312 1642041455.3942
MEM 201.015625 1642041455.5042
MEM 217.929688 1642041455.6162
MEM 212.644531 1642041455.7282
MEM 211.339844 1642041455.8403
MEM 221.460938 1642041455.9523
MEM 228.316406 1642041456.0643
MEM 207.722656 1642041456.1763
MEM 196.121094 1642041456.2884
MEM 207.949219 1642041456.4004
MEM 179.230469 1642041456.5104
MEM 163.300781 1642041456.6204
MEM 183.648438 1642041456.7305
MEM 175.316406 1642041456.8405
MEM 163.300781 1642041456.9525
MEM 163.300781 1642041457.0645
MEM 163.300781 1642041457.1766
MEM 169.828125 1642041457.2886
MEM 178.761719 1642041457.4006
MEM 179.378906 1642041457.5106
MEM 180.761719 1642041457.6227
MEM 173.476562 1642041457.7347
MEM 173.476562 1642041457.8467
MEM 184.527344 1642041457.9587
MEM 184.933594 1642041458.0708
MEM 194.355469 1642041458.1828
MEM 205.003906 1642041458.2948
MEM 213.035156 1642041458.4068
MEM 225.539062 1642041458.5189
MEM 208.347656 1642041458.6309
MEM 207.718750 1642041458.7429
MEM 194.257812 1642041458.8549
MEM 198.082031 1642041458.9670
MEM 219.945312 1642041459.0790
MEM 198.566406 1642041459.1910
MEM 175.535156 1642041459.3030
MEM 163.300781 1642041459.4151
MEM 163.355469 1642041459.5271
MEM 165.539062 1642041459.6391
MEM 173.089844 1642041459.7511
MEM 163.300781 1642041459.8612
MEM 169.382812 1642041459.9732
MEM 173.476562 1642041460.0852
MEM 179.027344 1642041460.1972
MEM 183.257812 1642041460.3093
MEM 184.527344 1642041460.4213
MEM 190.468750 1642041460.5333
MEM 199.363281 1642041460.6434
MEM 187.636719 1642041460.7554
MEM 191.636719 1642041460.8674
MEM 198.996094 1642041460.9794
MEM 204.394531 1642041461.0915
MEM 212.292969 1642041461.2035
MEM 225.492188 1642041461.3155
MEM 228.488281 1642041461.4269
MEM 219.945312 1642041461.5389
MEM 219.230469 1642041461.6509
MEM 222.199219 1642041461.7629
MEM 229.726562 1642041461.8750
MEM 228.421875 1642041461.9870
MEM 198.566406 1642041462.0990
MEM 196.968750 1642041462.2090
MEM 182.871094 1642041462.3211
MEM 163.300781 1642041462.4331
MEM 178.949219 1642041462.5451
MEM 192.320312 1642041462.6571
MEM 180.117188 1642041462.7692
MEM 183.703125 1642041462.8812
MEM 199.433594 1642041462.9932
MEM 199.562500 1642041463.1053
MEM 200.734375 1642041463.2173
MEM 200.714844 1642041463.3293
MEM 200.304688 1642041463.4413
MEM 200.355469 1642041463.5534
MEM 199.570312 1642041463.6654
MEM 191.863281 1642041463.7774
MEM 205.160156 1642041463.8894
MEM 210.496094 1642041464.0015
MEM 220.640625 1642041464.1135
MEM 222.242188 1642041464.2255
MEM 226.167969 1642041464.3375
MEM 218.320312 1642041464.4496
MEM 196.121094 1642041464.5616
MEM 173.257812 1642041464.6736
MEM 175.406250 1642041464.7856
MEM 184.250000 1642041464.8977
MEM 182.871094 1642041465.0097
MEM 163.351562 1642041465.1217
MEM 173.476562 1642041465.2337
MEM 180.007812 1642041465.3458
MEM 191.167969 1642041465.4578
MEM 199.441406 1642041465.5698
MEM 200.632812 1642041465.6798
MEM 191.460938 1642041465.7919
MEM 190.425781 1642041465.9039
MEM 201.171875 1642041466.0159
MEM 201.332031 1642041466.1259
MEM 205.710938 1642041466.2380
MEM 212.582031 1642041466.3500
MEM 227.281250 1642041466.4620
MEM 229.726562 1642041466.5740
MEM 225.277344 1642041466.6861
MEM 222.371094 1642041466.7981
MEM 223.187500 1642041466.9081
MEM 227.281250 1642041467.0201
MEM 224.835938 1642041467.1322
MEM 226.902344 1642041467.2442
MEM 194.402344 1642041467.3562
MEM 163.300781 1642041467.4682
MEM 173.476562 1642041467.5803
MEM 173.476562 1642041467.6923
MEM 169.921875 1642041467.8043
MEM 170.167969 1642041467.9163
MEM 180.503906 1642041468.0254
MEM 180.746094 1642041468.1364
MEM 199.128906 1642041468.2484
MEM 205.636719 1642041468.3604
MEM 212.167969 1642041468.4725
MEM 212.316406 1642041468.5845
MEM 212.613281 1642041468.6945
MEM 212.175781 1642041468.8065
MEM 220.984375 1642041468.9186
MEM 226.207031 1642041469.0306
MEM 205.902344 1642041469.1426
MEM 186.339844 1642041469.2547
MEM 163.300781 1642041469.3667
MEM 169.335938 1642041469.4787
MEM 170.421875 1642041469.5907
MEM 168.281250 1642041469.7028
MEM 168.468750 1642041469.8148
MEM 169.234375 1642041469.9268
MEM 172.832031 1642041470.0388
MEM 170.359375 1642041470.1509
MEM 189.089844 1642041470.2629
MEM 199.769531 1642041470.3742
MEM 204.945312 1642041470.4862
MEM 221.378906 1642041470.5983
MEM 221.597656 1642041470.7103
MEM 220.746094 1642041470.8203
MEM 215.562500 1642041470.9323
MEM 200.070312 1642041471.0444
MEM 210.792969 1642041471.1564
MEM 221.308594 1642041471.2684
MEM 226.050781 1642041471.3794
MEM 219.945312 1642041471.4885
MEM 212.609375 1642041471.5985
MEM 206.652344 1642041471.7105
MEM 215.531250 1642041471.8205
MEM 173.089844 1642041471.9326
MEM 163.300781 1642041472.0446
MEM 163.300781 1642041472.1566
MEM 168.675781 1642041472.2686
MEM 178.386719 1642041472.3797
MEM 190.734375 1642041472.4907
MEM 190.031250 1642041472.6027
MEM 180.734375 1642041472.7127
MEM 189.773438 1642041472.8248
MEM 191.910156 1642041472.9368
MEM 200.765625 1642041473.0488
MEM 204.929688 1642041473.1608
MEM 212.367188 1642041473.2729
MEM 215.671875 1642041473.3849
MEM 222.621094 1642041473.4969
MEM 217.500000 1642041473.6089
MEM 212.609375 1642041473.7210
MEM 210.164062 1642041473.8330
MEM 182.625000 1642041473.9450
MEM 196.121094 1642041474.0570
MEM 186.339844 1642041474.1691
MEM 163.300781 1642041474.2791
MEM 173.136719 1642041474.3911
MEM 173.476562 1642041474.5021
MEM 183.808594 1642041474.6112
MEM 184.527344 1642041474.7232
MEM 191.554688 1642041474.8352
MEM 199.679688 1642041474.9472
MEM 210.730469 1642041475.0593
MEM 221.250000 1642041475.1713
MEM 218.210938 1642041475.2833
MEM 205.714844 1642041475.3953
MEM 163.316406 1642041475.5074
MEM 170.523438 1642041475.6194
MEM 168.500000 1642041475.7314
MEM 169.089844 1642041475.8434
MEM 178.812500 1642041475.9535
MEM 179.156250 1642041476.0655
MEM 179.656250 1642041476.1775
MEM 190.285156 1642041476.2895
MEM 191.835938 1642041476.4016
MEM 208.171875 1642041476.5136
MEM 210.699219 1642041476.6256
MEM 199.531250 1642041476.7376
MEM 201.816406 1642041476.8497
MEM 212.417969 1642041476.9617
MEM 222.011719 1642041477.0737
MEM 227.289062 1642041477.1858
MEM 192.546875 1642041477.2978
MEM 191.238281 1642041477.4098
MEM 163.316406 1642041477.5218
MEM 163.316406 1642041477.6339
MEM 163.316406 1642041477.7459
MEM 163.316406 1642041477.8579
MEM 170.707031 1642041477.9689
MEM 170.527344 1642041478.0780
MEM 178.976562 1642041478.1900
MEM 183.921875 1642041478.3020
MEM 190.324219 1642041478.4121
MEM 200.023438 1642041478.5241
MEM 200.152344 1642041478.6361
MEM 190.460938 1642041478.7481
MEM 191.117188 1642041478.8602
MEM 199.917969 1642041478.9722
MEM 205.101562 1642041479.0842
MEM 200.628906 1642041479.1963
MEM 201.609375 1642041479.3083
MEM 210.671875 1642041479.4203
MEM 219.187500 1642041479.5323
MEM 227.312500 1642041479.6443
MEM 225.558594 1642041479.7564
